UF,feriados,feriado,nota,data,cidade_uf,lat,lon
TO,25/12/2025 - Natal,Natal,,2025-12-25,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,20/11/2025 - Consciência Negra,Consciência Negra,,2025-11-20,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,25/12/2025 - Natal,Natal,,2025-12-25,Novo Alegre - TO,-12.915134,-46.5740939
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Novo Alegre - TO,-12.915134,-46.5740939
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Novo Alegre - TO,-12.915134,-46.5740939
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Novo Alegre - TO,-12.915134,-46.5740939
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Novo Alegre - TO,-12.915134,-46.5740939
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Novo Alegre - TO,-12.915134,-46.5740939
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Novo Alegre - TO,-12.915134,-46.5740939
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Novo Alegre - TO,-12.915134,-46.5740939
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Novo Alegre - TO,-12.915134,-46.5740939
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Novo Alegre - TO,-12.915134,-46.5740939
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Novo Alegre - TO,-12.915134,-46.5740939
TO,25/12/2025 - Natal,Natal,,2025-12-25,Novo Jardim - TO,-11.8199253,-46.6254107
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Novo Jardim - TO,-11.8199253,-46.6254107
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Novo Jardim - TO,-11.8199253,-46.6254107
